BE,Count/s
931,11598.8
930,11540.6
929,11946.7
928,11609
927,12060.1
926,12656.5
925,11489.5
924,12626.8
923,12508.3
922,12401.9
921,11399.3
920,13040.8
919,13367.8
918,12054.3
917,12121.8
916,12094.7
915,12964.5
914,11988.2
913,12110.8
912,11603.2
911,13518.5
910,13160.7
909,12746.6
908,12563.1
907,11572
906,12609.4
905,12155.4
904,12708.5
903,11484.6
902,11788.5
901,12091.3
900,12540.6
899,12546.5
898,12040.6
897,12257
896,11511.2
895,10884.6
894,12407.7
893,11905.7
892,12150.6
891,12569.1
890,12878.3
889,13622.9
888,12671.9
887,12567.6
886,13698
885,12522.3
884,12371.2
883,13529.2
882,12269
881,13161.3
880,12709.4
879,12395.5
878,12013.6
877,12394.4
876,10711.9
875,12189.2
874,11080.1
873,12162.2
872,11851.4
871,12653
870,13047.4
869,14094.6
868,12022.1
867,11479.2
866,11632.5
865,12434.8
864,11185.2
863,12557
862,12134.1
861,11862.1
860,12399.6
859,12008.2
858,12265.9
857,12343.1
856,12989.1
855,12945.2
854,11908.5
853,11171.7
852,11510.7
851,12655.1
850,13451.6
849,12564.9
848,13045.1
847,13575.7
846,12927.2
845,12517.2
844,12022.3
843,12303.1
842,13231
841,12822.9
840,12762.4
839,12454.8
838,12403.9
837,13339
836,12614.8
835,12336.4
834,12101.6
833,11896.4
832,11267.3
831,12478.6
830,12151.6
829,12623.9
828,12216.8
827,11929.6
826,12734.4
825,13126
824,13166.8
823,12239.2
822,11131
821,11205.8
820,12085.7
819,13455.7
818,12125
817,12968.9
816,13378.3
815,11154.4
814,11596.9
813,12580.1
812,12404.6
811,13449.9
810,12171.8
809,12778.6
808,12419.4
807,13664.2
806,12774.6
805,12117
804,12808.3
803,12314.6
802,13452.5
801,12415.8
800,14539
799,12467.3
798,13712.7
797,12606.1
796,13603.6
795,13632.5
794,12871.8
793,13359
792,13053.1
791,12270.3
790,12179.3
789,12663
788,13110.5
787,13200
786,13260.6
785,12193.1
784,12776.3
783,13859.2
782,13784.8
781,12466.1
780,12234.3
779,13211.7
778,13170.6
777,12604.6
776,13457.3
775,13289.3
774,12265.5
773,12584.4
772,12648.8
771,13933.5
770,11358
769,12393.1
768,13563.6
767,13801.6
766,13709.3
765,13167.8
764,12923.1
763,12563
762,13352.2
761,13935.8
760,13709.7
759,13280.5
758,12856
757,11920.1
756,13423.5
755,14708.6
754,13407.3
753,13207.7
752,12525.4
751,13484.5
750,12766.6
749,14316.8
748,13253.3
747,13457.5
746,12758.3
745,12811.3
744,13755.1
743,13552.8
742,14511.3
741,14218.6
740,13915.7
739,12610.4
738,13148.7
737,12624.9
736,13008.8
735,13938.3
734,13635.3
733,13734.1
732,13416.3
731,12946.1
730,13315.3
729,12653.6
728,14287.9
727,12822.1
726,12877.8
725,13004.4
724,11484.2
723,13576.5
722,13786.3
721,13638.9
720,13234.7
719,13013.3
718,11843
717,12998.8
716,12557.3
715,14991.5
714,13615.3
713,14105.5
712,12881.8
711,13067.3
710,13382.4
709,12085.4
708,14030.4
707,13030.6
706,12750.3
705,11942.2
704,11520.4
703,12299.4
702,11731.7
701,12611.6
700,12779.3
699,13986.4
698,12011.3
697,12095.4
696,13120.1
695,13280.1
694,13265.9
693,11868.4
692,12357.7
691,11889.4
690,12875.9
689,12144.7
688,12512.5
687,11785
686,11539.5
685,12438.2
684,11227.1
683,11725.9
682,12803.9
681,11274.7
680,12817.4
679,12668.4
678,11923.7
677,12072.9
676,11429.3
675,11268.9
674,11825.3
673,12245.2
672,11881.9
671,12548.3
670,12580.3
669,12730.7
668,12602.8
667,11291.6
666,11404.8
665,12283.6
664,12412.4
663,13171.6
662,12213.5
661,11826.2
660,12311.7
659,11070.1
658,11713.7
657,11770.7
656,11954.9
655,12057.6
654,13130.3
653,10700.6
652,11887.5
651,12312.4
650,12371.3
649,11952.3
648,11572.7
647,12173.9
646,10656.8
645,11045.3
644,11593.2
643,11333.1
642,10838.3
641,11753.1
640,11607.1
639,11157.5
638,11287.7
637,11387.6
636,10507.2
635,10902
634,11532.1
633,11886.1
632,11636.8
631,10117.4
630,11325.3
629,10544.4
628,11460.4
627,11393.2
626,11115.9
625,10873.3
624,10623.4
623,10884.1
622,11215.8
621,11103.2
620,10956.5
619,10545.5
618,10570.4
617,10415.7
616,10273.5
615,11131.3
614,12044.8
613,12082.4
612,11886.5
611,10469.1
610,10364.4
609,11164
608,10832.3
607,10487
606,11477.6
605,10980
604,9759.76
603,10023.9
602,10891.1
601,10506.3
600,10619.7
599,10478.5
598,10368.8
597,11304.8
596,10381.6
595,9585.27
594,10043.3
593,11139.1
592,10954.3
591,10483.5
590,10992.5
589,11159.1
588,9648.8
587,11328.7
586,12147.5
585,11849.3
584,11606.3
583,10547.9
582,11004.9
581,8747
580,9649.53
579,9204.63
578,10879.1
577,10251.2
576,10348.5
575,9880.29
574,9802.51
573,9408.57
572,9931.52
571,10219.8
570,8570.51
569,8521.24
568,9945.52
567,9216.95
566,8357.73
565,8755.64
564,10273.7
563,9607.55
562,8715.47
561,9277.13
560,9430.5
559,8586.72
558,8865.43
557,9129.32
556,8504.05
555,8603.62
554,9056.19
553,8952.79
552,7565.83
551,8002.66
550,8690.96
549,8212.23
548,9108.83
547,8679.88
546,7480.6
545,8589.2
544,8035.43
543,7508.14
542,6802.45
541,6303.14
540,5924.65
539,7599.98
538,7332.96
537,6849.11
536,7006.5
535,7457.52
534,7272.14
533,9083.43
532,12638.8
531,14320.3
530,11263.7
529,8094.95
528,6411.79
527,6895.34
526,6900.39
525,6353.07
524,6885.04
523,7137.32
522,6361.58
521,6552.27
520,6112.58
519,6622.8
518,6640.03
517,5879.86
516,6168.04
515,6503.7
514,6195.48
513,5213.54
512,6035.88
511,5333.93
510,4743.47
509,5610.53
508,6207.73
507,5213.6
506,5217.07
505,5338.52
504,5144.44
503,5437.39
502,5444.06
501,5820.44
500,7878.84
499,9088.94
498,9452.85
497,7368.69
496,6863.88
495,6135.13
494,5153.02
493,4831.65
492,4107.27
491,4168.43
490,3420.27
489,3530.32
488,3981.2
487,3759.35
486,3468.14
485,3428.39
484,3248.32
483,3723.37
482,3436.12
481,3347.79
480,3446.16
479,3803.38
478,3591.54
477,4654.27
476,4538.01
475,4312.32
474,4934.51
473,4150.49
472,3259.34
471,3307.27
470,2736.9
469,2296
468,2664
467,2837.58
466,2347.47
465,3164
464,2490.29
463,2889.38
462,2796.17
461,2467.32
460,2758.73
459,2838.36
458,2505.64
457,2562.2
456,2162.16
455,2215.65
454,2231.5
453,2520.32
452,2548.45
451,2653.3
450,2985.17
449,2966.17
448,2828.38
447,1882.63
446,2327.57
445,2359.48
444,2540.05
443,2339.72
442,2594.9
441,2479.09
440,2644.72
439,2468.89
438,2579.65
437,2243.77
436,3057.46
435,2981.02
434,2536.57
433,2337.89
432,2557.73
431,2917.17
430,3170.18
429,2644.19
428,2594.29
427,2451.99
426,2660.32
425,3057.03
424,2836.36
423,3197.81
422,2622.58
421,2899.05
420,2680.81
419,2996.78
418,2507.03
417,2660.45
416,2537.48
415,2621.52
414,2731.33
413,2878.92
412,2871.97
411,3264.62
410,2953.62
409,2798.22
408,2857.82
407,2998.6
406,2579.54
405,2758.8
404,2714.09
403,2985.59
402,2572.8
401,2238.22
400,2499.64
399,2875.09
398,2770.03
397,2885.06
396,2966.2
395,3011.71
394,2978.08
393,2897.15
392,2930.67
391,2732.25
390,3451.78
389,2512.08
388,2975.93
387,2926.66
386,2920.15
385,2051.74
384,2522.1
383,2417.71
382,2338.79
381,2746.22
380,2621.09
379,3108.73
378,2723.53
377,2400.5
376,2829.43
375,2914.3
374,2678.22
373,2734.95
372,3149.91
371,3513.16
370,2624.91
369,2197.46
368,3256.82
367,2573.79
366,3082.9
365,3317.54
364,2636.78
363,2666.58
362,2631.7
361,2846.17
360,3155.31
359,3071.89
358,3007.58
357,2400.44
356,2648.01
355,2743.04
354,3133.37
353,3084.35
352,2868.02
351,3186.2
350,3364.78
349,3180.93
348,3364.54
347,2817.84
346,3198.11
345,3310.75
344,3798.76
343,3128.33
342,2591.24
341,2909.84
340,2833.53
339,2819.97
338,2841.99
337,3292.13
336,3226.57
335,2846.77
334,2297.63
333,2838.77
332,2680.65
331,2770.36
330,2577.14
329,3181.13
328,2751.63
327,3271.84
326,3621.54
325,2340.1
324,2453.41
323,2373.5
322,2954.58
321,2590.16
320,2390.97
319,2046.68
318,2728.39
317,3161.25
316,3562.98
315,2754.89
314,2920.85
313,2739.51
312,3545.15
311,2951.16
310,2394.15
309,2995.47
308,2793.27
307,3029.82
306,3107.06
305,2834.76
304,2927.53
303,3191.24
302,3240.31
301,3187.99
300,2926.43
299,2765.33
298,2530.51
297,2719.82
296,2320.33
295,2005.62
294,2148.91
293,2479.3
292,2065.08
291,2326.36
290,2149.06
289,2346.07
288,2574.17
287,3095.08
286,4734.18
285,7634.12
284,6071.09
283,6164.1
282,3829.45
281,2527.81
280,1792.62
279,2016.1
278,2293.65
277,2852.72
276,2307.87
275,2798.28
274,2275.75
273,2542.87
272,1834.84
271,2056.13
270,2261.37
269,2104.55
268,2050.04
267,1803.15
266,2305.25
265,2272.09
264,2003.54
263,2012.14
262,2270.93
261,1690.83
260,1684.02
259,1743.01
258,2202.4
257,1985.61
256,1988.59
255,2144.74
254,2035.22
253,2360.1
252,2080.04
251,2226.36
250,2375.24
249,2233.51
248,1980.24
247,1934.83
246,2174.02
245,1727.12
244,1790.32
243,2213.75
242,2004.9
241,1917.48
240,2401
239,2378.37
238,1899.13
237,1657.13
236,2102.28
235,2375.23
234,1730.01
233,2512.93
232,2207.38
231,1991.09
230,2505.8
229,2720.51
228,2202.98
227,2159.21
226,2378.9
225,1886.05
224,2413.77
223,2268.43
222,2218.22
221,2168.36
220,2099.8
219,2351.57
218,2074.05
217,2604.42
216,2415.34
215,2321.86
214,2092.17
213,2054.13
212,2805.14
211,2299.35
210,2274.19
209,2506.92
208,2663.19
207,2560.75
206,2012.95
205,2195.89
204,2487.61
203,2610.9
202,2570.45
201,2666.41
200,2423.98
199,2867.75
198,2484.47
197,2286.06
196,2406.53
195,2060.91
194,2094.24
193,2583.84
192,2322.06
191,1978.92
190,1777.59
189,1861.56
188,2247.07
187,2214.11
186,1946.57
185,2074.6
184,2096.85
183,2485.73
182,2693.49
181,2668.44
180,2797.56
179,2613.74
178,2558.41
177,1989.58
176,1775.18
175,2131.08
174,2437.05
173,2496.55
172,2046.5
171,2930.77
170,1685.01
169,2421.77
168,2344
167,2369.01
166,2413.04
165,2082.7
164,2632.74
163,2019.3
162,2628.25
161,2266.34
160,2272.92
159,2043.7
158,2291.18
157,2452.84
156,1802.8
155,2886.76
154,1916.16
153,2507.21
152,2084.54
151,2256.94
150,2318.24
149,2343.22
148,2254.69
147,2038.87
146,2469.84
145,2356.19
144,1694.22
143,2257.85
142,2135.6
141,3151.76
140,3297.72
139,3316.78
138,3147.23
137,2337.56
136,1935.05
135,1954.91
134,2011.71
133,2041.39
132,2407.25
131,1694.18
130,2209.1
129,1781.64
128,1986.03
127,2416.05
126,2263.09
