Wavelength (nm),Abs
1100,0.4176
1099,0.4175
1098,0.4174
1097,0.4173
1096,0.4172
1095,0.4172
1094,0.4171
1093,0.4171
1092,0.4171
1091,0.417
1090,0.417
1089,0.417
1088,0.417
1087,0.4171
1086,0.417
1085,0.417
1084,0.4172
1083,0.4174
1082,0.4175
1081,0.4176
1080,0.4176
1079,0.4177
1078,0.4178
1077,0.4179
1076,0.418
1075,0.4181
1074,0.4181
1073,0.4181
1072,0.4182
1071,0.4182
1070,0.4182
1069,0.4182
1068,0.418
1067,0.4179
1066,0.4179
1065,0.4181
1064,0.4181
1063,0.418
1062,0.4181
1061,0.4182
1060,0.4183
1059,0.4183
1058,0.4184
1057,0.4185
1056,0.4186
1055,0.4188
1054,0.419
1053,0.4191
1052,0.4192
1051,0.4193
1050,0.4194
1049,0.4195
1048,0.4198
1047,0.4201
1046,0.4204
1045,0.4205
1044,0.4207
1043,0.421
1042,0.4213
1041,0.4215
1040,0.4215
1039,0.4215
1038,0.4216
1037,0.4216
1036,0.4216
1035,0.4216
1034,0.4216
1033,0.4217
1032,0.4217
1031,0.4218
1030,0.4218
1029,0.4218
1028,0.4219
1027,0.422
1026,0.4221
1025,0.4224
1024,0.4228
1023,0.4232
1022,0.4234
1021,0.4237
1020,0.424
1019,0.4242
1018,0.4244
1017,0.4246
1016,0.4247
1015,0.4249
1014,0.4251
1013,0.4253
1012,0.4254
1011,0.4257
1010,0.4259
1009,0.4261
1008,0.4263
1007,0.4264
1006,0.4267
1005,0.4269
1004,0.4271
1003,0.4273
1002,0.4276
1001,0.4279
1000,0.4281
999,0.4284
998,0.4287
997,0.4289
996,0.4292
995,0.4295
994,0.4297
993,0.43
992,0.4303
991,0.4306
990,0.4309
989,0.4311
988,0.4314
987,0.4317
986,0.4319
985,0.4322
984,0.4325
983,0.4328
982,0.4331
981,0.4334
980,0.4337
979,0.434
978,0.4343
977,0.4347
976,0.435
975,0.4353
974,0.4357
973,0.436
972,0.4363
971,0.4367
970,0.437
969,0.4374
968,0.4377
967,0.4381
966,0.4384
965,0.4388
964,0.4391
963,0.4395
962,0.4398
961,0.4402
960,0.4405
959,0.4409
958,0.4413
957,0.4416
956,0.442
955,0.4424
954,0.4428
953,0.4432
952,0.4435
951,0.4439
950,0.4443
949,0.4447
948,0.4451
947,0.4455
946,0.4458
945,0.4462
944,0.4466
943,0.4471
942,0.4475
941,0.4478
940,0.4482
939,0.4486
938,0.449
937,0.4494
936,0.4498
935,0.4501
934,0.4505
933,0.4509
932,0.4513
931,0.4518
930,0.4522
929,0.4526
928,0.453
927,0.4534
926,0.4538
925,0.4542
924,0.4546
923,0.455
922,0.4554
921,0.4558
920,0.4562
919,0.4566
918,0.457
917,0.4574
916,0.4578
915,0.4582
914,0.4586
913,0.459
912,0.4594
911,0.4598
910,0.4602
909,0.4606
908,0.461
907,0.4614
906,0.4618
905,0.4622
904,0.4626
903,0.463
902,0.4634
901,0.4637
900,0.4641
899,0.4644
898,0.4648
897,0.4651
896,0.4655
895,0.4659
894,0.4662
893,0.4666
892,0.4669
891,0.4673
890,0.4676
889,0.468
888,0.4683
887,0.4686
886,0.4689
885,0.4693
884,0.4696
883,0.4699
882,0.4702
881,0.4705
880,0.4708
879,0.4711
878,0.4714
877,0.4718
876,0.4721
875,0.4724
874,0.4726
873,0.4729
872,0.4732
871,0.4735
870,0.4738
869,0.4741
868,0.4743
867,0.4746
866,0.4748
865,0.4751
864,0.4753
863,0.4756
862,0.4758
861,0.476
860,0.4762
859,0.4764
858,0.4766
857,0.4768
856,0.477
855,0.4772
854,0.4774
853,0.4776
852,0.4778
851,0.4781
850,0.4783
849,0.4785
848,0.4787
847,0.4789
846,0.4791
845,0.4793
844,0.4795
843,0.4796
842,0.4798
841,0.48
840,0.4801
839,0.4803
838,0.4804
837,0.4806
836,0.4807
835,0.4808
834,0.4809
833,0.4811
832,0.4812
831,0.4813
830,0.4815
829,0.4816
828,0.4817
827,0.4819
826,0.482
825,0.4822
824,0.4823
823,0.4824
822,0.4826
821,0.4827
820,0.4828
819,0.483
818,0.4831
817,0.4832
816,0.4834
815,0.4835
814,0.4836
813,0.4838
812,0.4839
811,0.484
810,0.4842
809,0.4843
808,0.4845
807,0.4846
806,0.4847
805,0.4848
804,0.485
803,0.4851
802,0.4853
801,0.4855
800,0.4856
799,0.4858
798,0.4859
797,0.4861
796,0.4863
795,0.4865
794,0.4867
793,0.4868
792,0.487
791,0.4872
790,0.4874
789,0.4876
788,0.4879
787,0.4881
786,0.4884
785,0.4887
784,0.4889
783,0.4891
782,0.4894
781,0.4897
780,0.49
779,0.4902
778,0.4906
777,0.4908
776,0.4911
775,0.4914
774,0.4917
773,0.492
772,0.4923
771,0.4927
770,0.4931
769,0.4934
768,0.4938
767,0.4942
766,0.4947
765,0.495
764,0.4953
763,0.4956
762,0.496
761,0.4962
760,0.4964
759,0.4965
758,0.4967
757,0.4969
756,0.4971
755,0.4973
754,0.4976
753,0.4979
752,0.4981
751,0.4984
750,0.4987
749,0.4991
748,0.4995
747,0.5
746,0.5004
745,0.5009
744,0.5015
743,0.5021
742,0.5026
741,0.5031
740,0.5037
739,0.5042
738,0.5048
737,0.5053
736,0.5058
735,0.5064
734,0.507
733,0.5077
732,0.5083
731,0.5089
730,0.5096
729,0.5102
728,0.5109
727,0.5115
726,0.5122
725,0.5128
724,0.5135
723,0.5141
722,0.5148
721,0.5155
720,0.5161
719,0.5168
718,0.5175
717,0.5181
716,0.5188
715,0.5194
714,0.5201
713,0.5208
712,0.5216
711,0.5223
710,0.523
709,0.5237
708,0.5245
707,0.5252
706,0.5259
705,0.5267
704,0.5274
703,0.5282
702,0.529
701,0.5297
700,0.5304
699,0.5311
698,0.5319
697,0.5326
696,0.5333
695,0.5341
694,0.5348
693,0.5356
692,0.5364
691,0.5372
690,0.538
689,0.5387
688,0.5395
687,0.5403
686,0.5411
685,0.5418
684,0.5426
683,0.5434
682,0.5441
681,0.5449
680,0.5456
679,0.5463
678,0.547
677,0.5478
676,0.5485
675,0.5493
674,0.55
673,0.5508
672,0.5516
671,0.5523
670,0.5531
669,0.5538
668,0.5545
667,0.5553
666,0.556
665,0.5567
664,0.5574
663,0.5582
662,0.5589
661,0.5596
660,0.5603
659,0.5611
658,0.5618
657,0.5626
656,0.5633
655,0.5641
654,0.5649
653,0.5656
652,0.5664
651,0.5672
650,0.568
649,0.5688
648,0.5695
647,0.5703
646,0.5711
645,0.5718
644,0.5726
643,0.5734
642,0.5742
641,0.575
640,0.5759
639,0.5767
638,0.5775
637,0.5783
636,0.5792
635,0.5801
634,0.581
633,0.5819
