347.846,15
348.383,26
348.921,29
349.458,32
349.996,28
350.534,35
351.071,43
351.609,42
352.146,44
352.684,50
353.221,67
353.759,80
354.296,81
354.834,103
355.371,119
355.909,127
356.446,152
356.983,186
357.521,212
358.058,240
358.596,284
359.133,332
359.67,370
360.208,416
360.745,482
361.282,519
361.819,604
362.357,669
362.894,729
363.431,765
363.969,845
364.506,928
365.043,1019
365.58,1054
366.117,1137
366.655,1204
367.192,1286
367.729,1371
368.266,1378
368.803,1442
369.34,1509
369.877,1626
370.414,1637
370.952,1685
371.489,1730
372.026,1812
372.563,1875
373.1,1855
373.637,1938
374.174,1950
374.711,1975
375.248,2040
375.785,2065
376.322,2090
376.858,2070
377.395,2054
377.932,2093
378.469,2065
379.006,2069
379.543,2040
380.08,2012
380.617,2008
381.153,1918
381.69,1871
382.227,1815
382.764,1795
383.3,1720
383.837,1674
384.374,1613
384.911,1541
385.447,1499
385.984,1419
386.521,1395
387.057,1332
387.594,1276
388.131,1227
388.667,1183
389.204,1102
389.741,1103
390.277,1049
390.814,996
391.35,938
391.887,889
392.423,870
392.96,833
393.496,799
394.033,781
394.569,737
395.106,692
395.642,669
396.179,639
396.715,645
397.252,568
397.788,542
398.324,552
398.861,495
399.397,474
399.933,463
400.47,422
401.006,434
401.542,399
402.079,382
402.615,395
403.151,366
403.687,351
404.224,335
404.76,342
405.296,318
405.832,304
406.368,301
406.905,282
407.441,277
407.977,275
408.513,272
409.049,233
409.585,241
410.121,234
410.657,238
411.193,211
411.729,227
412.265,216
412.801,225
413.337,191
413.873,194
414.409,193
414.945,189
415.481,195
416.017,177
416.553,198
417.089,176
417.625,173
418.161,171
418.696,163
419.232,161
419.768,167
420.304,166
420.84,173
421.375,173
421.911,165
422.447,162
422.983,157
423.518,164
424.054,161
424.59,163
425.125,162
425.661,166
426.197,163
426.732,152
427.268,165
427.804,173
428.339,146
428.875,172
429.41,158
429.946,167
430.481,175
431.017,164
431.552,161
432.088,158
432.623,173
433.159,173
433.694,175
434.23,184
434.765,164
435.301,191
435.836,177
436.371,187
436.907,178
437.442,192
437.977,201
438.513,187
439.048,199
439.583,200
440.118,203
440.654,207
441.189,203
441.724,206
442.259,212
442.795,222
443.33,211
443.865,229
444.4,220
444.935,230
445.47,230
446.005,221
446.541,224
447.076,224
447.611,247
448.146,233
448.681,266
449.216,249
449.751,272
450.286,250
450.821,265
451.356,270
451.891,264
452.426,287
452.961,298
453.495,297
454.03,294
454.565,297
455.1,313
455.635,319
456.17,333
456.704,328
457.239,329
457.774,339
458.309,361
458.844,357
459.378,360
459.913,356
460.448,362
460.982,402
461.517,386
462.052,412
462.586,391
463.121,416
463.656,414
464.19,441
464.725,425
465.259,446
465.794,450
466.328,458
466.863,476
467.398,476
467.932,473
468.466,500
469.001,498
469.535,517
470.07,527
470.604,521
471.139,524
471.673,554
472.207,538
472.742,561
473.276,550
473.81,596
474.345,588
474.879,633
475.413,615
475.948,650
476.482,653
477.016,666
477.55,678
478.084,690
478.619,682
479.153,720
479.687,723
480.221,728
480.755,734
481.289,736
481.823,756
482.358,800
482.892,802
483.426,834
483.96,839
484.494,870
485.028,857
485.562,882
486.096,910
486.63,903
487.164,932
487.697,927
488.231,946
488.765,994
489.299,985
489.833,1017
490.367,1035
490.901,1039
491.434,1046
491.968,1086
492.502,1100
493.036,1103
493.57,1111
494.103,1146
494.637,1189
495.171,1186
495.704,1212
496.238,1238
496.772,1252
497.305,1288
497.839,1309
498.373,1355
498.906,1378
499.44,1369
499.973,1416
500.507,1457
501.04,1486
501.574,1485
502.107,1532
502.641,1524
503.174,1550
503.708,1626
504.241,1612
504.775,1664
505.308,1692
505.841,1669
506.375,1733
506.908,1792
507.442,1799
507.975,1787
508.508,1860
509.041,1862
509.575,1935
510.108,1928
510.641,1946
511.174,1946
511.708,2055
512.241,2087
512.774,2124
513.307,2130
513.84,2144
514.373,2184
514.907,2246
515.44,2297
515.973,2300
516.506,2306
517.039,2350
517.572,2408
518.105,2458
518.638,2439
519.171,2529
519.704,2562
520.237,2534
520.77,2649
521.303,2658
521.836,2665
522.369,2725
522.901,2778
523.434,2839
523.967,2843
524.5,2856
525.033,2887
525.566,2959
526.098,2975
526.631,2994
527.164,3052
527.696,3148
528.229,3106
528.762,3228
529.295,3234
529.827,3250
530.36,3262
530.893,3316
531.425,3380
531.958,3434
532.49,3409
533.023,3528
533.555,3556
534.088,3547
534.62,3652
535.153,3665
535.685,3753
536.218,3728
536.75,3780
537.283,3828
537.815,3897
538.348,3930
538.88,3875
539.412,4036
539.945,4029
540.477,4099
541.009,4101
541.542,4111
542.074,4147
542.606,4224
543.138,4291
543.671,4354
544.203,4371
544.735,4413
545.267,4443
545.799,4438
546.331,4492
546.864,4556
547.396,4584
547.928,4616
548.46,4674
548.992,4715
549.524,4760
550.056,4749
550.588,4840
551.12,4854
551.652,4897
552.184,4858
552.716,4959
553.248,4978
553.78,4973
554.312,5033
554.844,5054
555.375,5234
555.907,5146
556.439,5219
556.971,5202
557.503,5237
558.034,5284
558.566,5337
559.098,5339
559.63,5362
560.161,5390
560.693,5378
561.225,5508
561.756,5499
562.288,5471
562.82,5550
563.351,5575
563.883,5580
564.414,5628
564.946,5650
565.478,5709
