347.846,13
348.383,11
348.921,9
349.458,7
349.996,11
350.534,11
351.071,9
351.609,11
352.146,11
352.684,4
353.221,15
353.759,9
354.296,11
354.834,11
355.371,17
355.909,12
356.446,18
356.983,17
357.521,23
358.058,24
358.596,19
359.133,23
359.67,31
360.208,29
360.745,33
361.282,31
361.819,35
362.357,39
362.894,47
363.431,54
363.969,60
364.506,58
365.043,66
365.58,58
366.117,76
366.655,75
367.192,72
367.729,80
368.266,108
368.803,109
369.34,99
369.877,121
370.414,129
370.952,145
371.489,154
372.026,165
372.563,170
373.1,172
373.637,180
374.174,188
374.711,194
375.248,191
375.785,191
376.322,193
376.858,196
377.395,194
377.932,193
378.469,189
379.006,186
379.543,185
380.08,180
380.617,178
381.153,173
381.69,160
382.227,165
382.764,136
383.3,147
383.837,145
384.374,135
384.911,130
385.447,129
385.984,122
386.521,117
387.057,130
387.594,102
388.131,113
388.667,102
389.204,107
389.741,97
390.277,94
390.814,91
391.35,92
391.887,84
392.423,70
392.96,92
393.496,72
394.033,81
394.569,68
395.106,63
395.642,71
396.179,63
396.715,59
397.252,56
397.788,60
398.324,43
398.861,62
399.397,46
399.933,41
400.47,55
401.006,47
401.542,50
402.079,41
402.615,45
403.151,47
403.687,38
404.224,36
404.76,35
405.296,30
405.832,36
406.368,44
406.905,27
407.441,30
407.977,36
408.513,44
409.049,30
409.585,30
410.121,28
410.657,20
411.193,37
411.729,32
412.265,28
412.801,22
413.337,26
413.873,30
414.409,34
414.945,21
415.481,23
416.017,27
416.553,25
417.089,30
417.625,17
418.161,27
418.696,18
419.232,27
419.768,31
420.304,13
420.84,21
421.375,24
421.911,16
422.447,29
422.983,31
423.518,27
424.054,34
424.59,21
425.125,22
425.661,19
426.197,24
426.732,29
427.268,20
427.804,21
428.339,20
428.875,16
429.41,15
429.946,17
430.481,18
431.017,14
431.552,15
432.088,16
432.623,28
433.159,18
433.694,21
434.23,16
434.765,21
435.301,21
435.836,21
436.371,25
436.907,29
437.442,20
437.977,26
438.513,27
439.048,22
439.583,18
440.118,19
440.654,25
441.189,18
441.724,23
442.259,25
442.795,25
443.33,31
443.865,22
444.4,23
444.935,24
445.47,19
446.005,28
446.541,27
447.076,27
447.611,32
448.146,38
448.681,38
449.216,35
449.751,40
450.286,40
450.821,40
451.356,39
451.891,34
452.426,34
452.961,36
453.495,41
454.03,37
454.565,41
455.1,34
455.635,36
456.17,37
456.704,38
457.239,41
457.774,38
458.309,37
458.844,43
459.378,46
459.913,43
460.448,37
460.982,48
461.517,45
462.052,47
462.586,49
463.121,42
463.656,46
464.19,50
464.725,46
465.259,46
465.794,47
466.328,46
466.863,45
467.398,48
467.932,49
468.466,51
469.001,58
469.535,51
470.07,56
470.604,47
471.139,51
471.673,51
472.207,55
472.742,52
473.276,56
473.81,57
474.345,59
474.879,51
475.413,69
475.948,61
476.482,60
477.016,68
477.55,75
478.084,69
478.619,67
479.153,73
479.687,64
480.221,70
480.755,75
481.289,76
481.823,76
482.358,75
482.892,86
483.426,74
483.96,80
484.494,86
485.028,78
485.562,86
486.096,95
486.63,97
487.164,93
487.697,104
488.231,87
488.765,99
489.299,90
489.833,114
490.367,115
490.901,105
491.434,96
491.968,110
492.502,117
493.036,104
493.57,112
494.103,116
494.637,111
495.171,127
495.704,125
496.238,124
496.772,121
497.305,133
497.839,129
498.373,140
498.906,135
499.44,142
499.973,152
500.507,174
501.04,157
501.574,146
502.107,168
502.641,157
503.174,168
503.708,160
504.241,172
504.775,173
505.308,169
505.841,168
506.375,184
506.908,203
507.442,191
507.975,196
508.508,189
509.041,205
509.575,198
510.108,207
510.641,211
511.174,212
511.708,228
512.241,225
512.774,227
513.307,238
513.84,251
514.373,241
514.907,260
515.44,262
515.973,259
516.506,265
517.039,273
517.572,264
518.105,281
518.638,279
519.171,285
519.704,294
520.237,299
520.77,293
521.303,299
521.836,313
522.369,328
522.901,332
523.434,336
523.967,330
524.5,339
525.033,350
525.566,348
526.098,371
526.631,384
527.164,371
527.696,376
528.229,375
528.762,389
529.295,391
529.827,401
530.36,404
530.893,417
531.425,415
531.958,444
532.49,443
533.023,451
533.555,462
534.088,452
534.62,473
535.153,459
